title,artist
Blossom,NY-SAE
Call me,90sFlav
After You,Dead Gorgeous Records
Sweetheart,Kavv
palma,oofoe
sprung,Jinsang
Sweez,Stan Forebee
Love Is All We Need,Ajmw
Everything Will Be Okay,gny
by my side,Flavors
Morning Eyes,John Looke
Memories with Her,Kudasaibeats
Something About Her Smile.,Luv.Ly
Feel,Bludlo
Le Temps Des Cerises,Soryo Madmonk
Baby Girl,Through & Through
Girl,Dontcry
You're the Dream I Never Wanna Wake Up From,sad boy with a laptop
luvin',w?sh
Falling for U,Peachy!
Your Love Has Me High,Yung Bae
I'll Wait Here,Oribu
6:00 ¿ÀÀü,HM Surf
Inbibe,Choplifter
Beats for You,TreeHouse 707
melatonin,goosetaf
Sitting in the Park,Engelwood
redpest,KESHORE
Cute Girl from the Froyo Shop,Rook1e
Goodnyte,Aso
Forever Eyes,enjo
brise,mt. fujitive
YoU,Jack Dean
lovely,Sleepy Bear
Need a Girl Like Shego...,athena
Amazon River,B0nds
Ms.Prettybooty,The Deli
hoodie weather,[bsd.u]
Head Over Heels,High John
Cozy,Peter Kuli
Friday,Erameld
Blue,Stlndrms
Ride Away,Aso
her smile,[bsd.u]
nubes,Dawl
this girl,Elijah Who
my new love,Elijah Who
Please Stay,Francois Klark
This Town,Niall Horan
All I Want,Kodaline
Rivers And Roads,The Head and the Heart
arms,Christina Perri
All of the Stars - Soundtrack Version,Ed Sheeran
Miss You,Gabrielle Aplin
Love on the Weekend,John Mayer
So Soon,The Graves
Move Together,James Bay
Between Cities,Donovan Woods
Oceans Away,A R I Z O N A
Come Home,OneRepublic
The Girl,City and Colour
Rather Be with You - Acoustic,Sinead Harnett
The Distance,Aly & AJ
Miss You More,Matt Simons
Surround You,Echosmith
Coming Home,Gavin James
Long Drive,Jason Mraz
Long Distance,Megan & Liz
See You Again,Elle King
Already Home,A Great Big World
Muscle Memory,Lights
Berlin,Bear's Den
Home,Gabrielle Aplin
As Much As I Ever Could,City and Colour
Trouble I'm In,Twinbed
Never Let Me Go,Florence + The Machine
I Miss You,Adele
Stay,Sara Bareilles
To Whom It May Concern,The Civil Wars
See You Soon,Coldplay
Missing You,Betty Who
Lit the Fire,Ralph
5748 Km,Lisa LeBlanc
Rather Be - Acoustic Version,Matt Johnson
On the Nights You Stay Home,Donovan Woods
Distance,Emily King
Missing You,Erik Hassle
I Was Just Thinking,Teitur
Someday,Bryan Greenberg
Hearts Without Chains,Ellie Goulding
When You're Gone - Acoustic Version,Avril Lavigne
Montreal,Bahamas
And Counting¡¦,Lights
Without You,Lana Del Rey
Tomorrow Is Gonna Be Better,Joshua Radin
I Won't Let You Go,James Morrison
Train Song,Feist
Shape of My Heart,Backstreet Boys
This I Promise You,*NSYNC
You're Still The One,Shania Twain
Back At One,Brian McKnight
How Do I Live,LeAnn Rimes
I Want It That Way,Backstreet Boys
Because You Loved Me (Theme from Up Close and Personal),C?line Dion
I Do (Cherish You),98¨¬
Sometimes,Britney Spears
I Swear,All-4-One
Hero,Mariah Carey
It's All Coming Back to Me Now - Radio Version,C?line Dion
All My Life,K-Ci & JoJo
End Of The Road,Boyz II Men
I Can Love You Like That,All-4-One
Endless Love - Endless Love/Soundtrack Version,Lionel Richie
I'll Never Break Your Heart,Backstreet Boys
I'll Be There,Mariah Carey
I'll Make Love To You,Boyz II Men
(God Must Have Spent) A Little More Time On You - Remix,*NSYNC
Save The Best For Last,Vanessa Williams
I Will Always Love You,Whitney Houston
Kiss Me,Sixpence None The Richer
One Sweet Day,Mariah Carey
Amazed,Lonestar
2 Become 1,Spice Girls
More Than Words,Extreme
(Everything I Do) I Do It For You,Bryan Adams
Endless Love (with Mariah Carey),Luther Vandross
That's the Way It Is,C?line Dion
Quit Playing Games (With My Heart),Backstreet Boys
How Could an Angel Break My Heart,Kenny G
For You I Will,Monica
Always and Forever,Luther Vandross
My Heart Will Go On - Love Theme from Titanic,C?line Dion
I Don't Want to Miss a Thing,Aerosmith
I'll Be - Acoustic Version,Edwin McCain
Iris,The Goo Goo Dolls
Torn,Natalie Imbruglia
When You Believe,Whitney Houston
